Index,Time(us), GyroX , GyroY , GyroZ ,AccX , AccY , AccZ , MagX , MagY , MagZ
1, 0.000000,-0.000488, 0.009155, -0.017426,-0.013641, -0.019409, -0.254059,0.113190, 0.099609, -0.115723
2, 10000.000000,-0.000488, 0.009155, -0.017426,-0.012726, -0.018829, -0.254059,0.113190, 0.099609, -0.115723
3, 20000.000000,-0.001678, 0.007263, -0.017303,-0.012726, -0.018829, -0.254059,0.113190, 0.099609, -0.115723
4, 30000.000000,-0.001678, 0.007263, -0.017303,-0.012726, -0.018829, -0.254059,0.113190, 0.099609, -0.115723
5, 40000.000000,-0.000427, 0.009247, -0.016907,-0.012665, -0.019440, -0.254089,0.113647, 0.099518, -0.113464
6, 50000.000000,-0.000427, 0.009247, -0.016907,-0.012665, -0.019440, -0.254089,0.113647, 0.099518, -0.113464
7, 60000.000000,-0.000427, 0.009247, -0.016479,-0.012665, -0.019440, -0.254089,0.113647, 0.099518, -0.113464
8, 70000.000000,-0.001617, 0.010315, -0.016479,-0.012665, -0.019440, -0.254089,0.113647, 0.099518, -0.113464
9, 80000.000000,-0.001617, 0.010315, -0.016479,-0.012665, -0.019440, -0.254089,0.113647, 0.099518, -0.115143
10, 90000.000000,-0.000397, 0.009094, -0.016418,-0.012756, -0.019226, -0.258087,0.118652, 0.096802, -0.115143
11, 100000.000000,-0.000397, 0.009094, -0.016418,-0.012756, -0.019226, -0.258087,0.118652, 0.096802, -0.115143
12, 110000.000000,0.007416, 0.008392, -0.016327,-0.012756, -0.019226, -0.258087,0.118652, 0.096802, -0.115143
13, 120000.000000,0.001007, 0.008392, -0.016327,-0.012756, -0.019226, -0.258087,0.118652, 0.096802, -0.115143
14, 130000.000000,0.001007, 0.008392, -0.016327,-0.012329, -0.019318, -0.253998,0.119141, 0.098328, -0.111969
15, 140000.000000,-0.000641, 0.008575, -0.016296,-0.012329, -0.019318, -0.253998,0.119141, 0.098328, -0.111969
16, 150000.000000,-0.000641, 0.008575, -0.016296,-0.012329, -0.019318, -0.253998,0.119141, 0.098328, -0.111969
17, 160000.000000,-0.001648, 0.007843, -0.016602,-0.012329, -0.019318, -0.253998,0.119141, 0.098328, -0.111969
18, 170000.000000,-0.001648, 0.007843, -0.016602,-0.012329, -0.019318, -0.253998,0.111328, 0.098541, -0.106171
19, 180000.000000,-0.001648, 0.007843, -0.016602,-0.012268, -0.020233, -0.250671,0.110931, 0.098541, -0.106171
20, 190000.000000,-0.001038, 0.008453, -0.017303,-0.012268, -0.020233, -0.250671,0.110931, 0.098541, -0.106171
21, 200000.000000,-0.001038, 0.008453, -0.017303,-0.012268, -0.020233, -0.250671,0.110931, 0.098541, -0.106171
22, 210000.000000,0.000427, 0.008331, -0.018127,-0.012268, -0.020233, -0.250671,0.110931, 0.098541, -0.106171
23, 220000.000000,0.000427, 0.008331, -0.018127,-0.014374, -0.020691, -0.255859,0.114929, 0.098816, -0.111938
24, 230000.000000,0.000427, 0.008331, -0.017578,-0.014374, -0.020691, -0.255859,0.114929, 0.098816, -0.111938
25, 240000.000000,-0.000580, 0.008148, -0.017578,-0.014374, -0.020691, -0.255859,0.114929, 0.098816, -0.111938
26, 250000.000000,-0.000580, 0.008148, -0.017578,-0.014374, -0.020691, -0.255859,0.114929, 0.098816, -0.111938
27, 260000.000000,-0.002319, 0.007172, -0.018097,-0.014374, -0.020691, -0.255859,0.122742, 0.098877, -0.111481
28, 270000.000000,-0.002319, 0.007172, -0.018097,-0.013611, -0.019592, -0.256622,0.118896, 0.098877, -0.111481
29, 280000.000000,-0.002319, 0.007172, -0.017426,-0.013611, -0.019592, -0.256622,0.118896, 0.098877, -0.111481
30, 290000.000000,-0.001709, 0.008636, -0.017426,-0.013611, -0.019592, -0.256622,0.118896, 0.098877, -0.111481
31, 300000.000000,-0.001709, 0.008636, -0.017426,-0.013611, -0.019592, -0.256622,0.118896, 0.098877, -0.111481
32, 310000.000000,-0.000244, 0.008484, -0.018097,-0.013000, -0.020447, -0.256409,0.117798, 0.098663, -0.111389
33, 320000.000000,-0.000244, 0.008484, -0.018097,-0.013000, -0.020447, -0.256409,0.117798, 0.098663, -0.111389
34, 330000.000000,-0.000244, 0.009064, -0.017365,-0.013000, -0.020447, -0.256409,0.117798, 0.098663, -0.111389
35, 340000.000000,-0.000702, 0.009064, -0.017365,-0.013000, -0.020447, -0.256409,0.117798, 0.098663, -0.111389
36, 350000.000000,-0.000702, 0.009064, -0.017365,-0.013000, -0.020447, -0.256409,0.117798, 0.096497, -0.109192
37, 360000.000000,-0.001312, 0.008545, -0.017578,-0.013763, -0.020416, -0.255066,0.121277, 0.096497, -0.109192
38, 370000.000000,-0.001312, 0.008545, -0.017578,-0.013763, -0.020416, -0.255066,0.121277, 0.096497, -0.109192
39, 380000.000000,-0.002319, 0.007965, -0.018280,-0.013763, -0.020416, -0.255066,0.121277, 0.096497, -0.109192
40, 390000.000000,-0.002319, 0.007965, -0.018280,-0.013763, -0.020416, -0.255066,0.121277, 0.096497, -0.109192
41, 400000.000000,-0.002319, 0.007965, -0.017700,-0.013123, -0.018707, -0.254272,0.119385, 0.097931, -0.110962
42, 410000.000000,-0.001434, 0.008270, -0.017700,-0.013123, -0.018707, -0.254272,0.119385, 0.097931, -0.110962
43, 420000.000000,-0.001434, 0.008270, -0.017700,-0.013123, -0.018707, -0.254272,0.119385, 0.097931, -0.110962
44, 430000.000000,-0.001373, 0.009796, -0.017700,-0.013123, -0.018707, -0.254272,0.119385, 0.097931, -0.110962
45, 440000.000000,-0.001373, 0.009796, -0.017700,-0.013123, -0.018707, -0.255585,0.116974, 0.099670, -0.115692
46, 450000.000000,-0.001373, 0.009796, -0.017365,-0.013855, -0.019257, -0.255585,0.116974, 0.099670, -0.115692
47, 460000.000000,-0.000427, 0.008881, -0.017365,-0.013855, -0.019257, -0.255585,0.116974, 0.099670, -0.115692
48, 470000.000000,-0.000427, 0.008881, -0.017365,-0.013855, -0.019257, -0.255585,0.116974, 0.099670, -0.115692
49, 480000.000000,-0.001099, 0.008850, -0.016937,-0.013855, -0.019257, -0.255585,0.116974, 0.099670, -0.115692
50, 490000.000000,-0.001099, 0.008850, -0.016937,-0.013916, -0.019348, -0.254333,0.118286, 0.099854, -0.110535
51, 500000.000000,-0.001099, 0.009033, -0.017914,-0.013916, -0.019348, -0.254333,0.118286, 0.099854, -0.110535
52, 510000.000000,-0.001129, 0.009033, -0.017914,-0.013916, -0.019348, -0.254333,0.118286, 0.099854, -0.110535
53, 520000.000000,-0.001129, 0.009033, -0.017914,-0.013916, -0.019348, -0.254333,0.118286, 0.099854, -0.110535
54, 530000.000000,-0.000854, 0.009033, -0.018005,-0.013916, -0.019348, -0.252441,0.118958, 0.098907, -0.107422
55, 540000.000000,-0.000854, 0.009033, -0.018005,-0.013550, -0.019531, -0.252441,0.118958, 0.098907, -0.107422
56, 550000.000000,-0.000183, 0.009338, -0.016815,-0.013550, -0.019531, -0.252441,0.118958, 0.098907, -0.107422
57, 560000.000000,-0.000183, 0.009338, -0.016815,-0.013550, -0.019531, -0.252441,0.118958, 0.098907, -0.107422
58, 570000.000000,-0.000183, 0.009338, -0.016815,-0.013550, -0.019531, -0.252441,0.118958, 0.098907, -0.107422
59, 580000.000000,-0.000854, 0.008362, -0.016907,-0.011108, -0.020966, -0.256256,0.118774, 0.099518, -0.110382
60, 590000.000000,-0.000854, 0.008362, -0.016907,-0.011108, -0.020966, -0.256256,0.118774, 0.099518, -0.110382
61, 600000.000000,-0.001556, 0.007721, -0.017578,-0.011108, -0.020966, -0.256256,0.118774, 0.099518, -0.110382
62, 610000.000000,-0.001556, 0.007721, -0.017578,-0.011108, -0.020966, -0.256256,0.118774, 0.099518, -0.110382
63, 620000.000000,-0.000336, 0.008911, -0.017639,-0.011353, -0.021576, -0.256561,0.116272, 0.094604, -0.107880
64, 630000.000000,-0.000336, 0.008911, -0.017639,-0.011353, -0.021576, -0.256561,0.116272, 0.094604, -0.107880
65, 640000.000000,-0.000336, 0.007477, -0.017090,-0.011353, -0.021576, -0.256561,0.116272, 0.094604, -0.107880
66, 650000.000000,-0.001770, 0.007477, -0.017090,-0.011353, -0.021576, -0.256561,0.116272, 0.094604, -0.107880
67, 660000.000000,-0.001770, 0.007477, -0.017090,-0.013062, -0.020935, -0.258240,0.116760, 0.099915, -0.112671
68, 670000.000000,0.001404, 0.008789, -0.017731,-0.013062, -0.020935, -0.258240,0.116760, 0.099915, -0.112671
69, 680000.000000,0.001404, 0.008789, -0.017731,-0.013062, -0.020935, -0.258240,0.116760, 0.099915, -0.112671
70, 690000.000000,-0.000793, 0.009583, -0.016907,-0.013062, -0.020935, -0.258240,0.116760, 0.099915, -0.112671
71, 700000.000000,-0.000793, 0.009583, -0.016907,-0.013062, -0.020935, -0.258240,0.116760, 0.094910, -0.109131
