Index,Time(us), GyroX , GyroY , GyroZ ,AccX , AccY , AccZ , MagX , MagY , MagZ
1, 0.000000,-0.002380, 0.002716, -0.012939,-0.055145, 0.238373, -0.068512,-0.090637, 0.032593, -0.105560
2, 10000.000000,-0.002380, 0.002716, -0.012939,-0.055145, 0.238373, -0.068512,-0.090637, 0.032593, -0.105560
3, 20000.000000,0.002106, 0.003326, -0.012299,-0.055145, 0.238373, -0.068512,-0.090637, 0.032593, -0.105560
4, 30000.000000,0.002106, 0.003326, -0.012299,-0.055145, 0.238373, -0.068512,-0.090637, 0.032593, -0.105560
5, 40000.000000,0.006927, 0.001923, -0.012573,-0.054382, 0.240631, -0.068176,-0.096191, 0.030914, -0.099823
6, 50000.000000,0.006927, 0.001923, -0.012573,-0.054382, 0.240631, -0.068176,-0.096191, 0.030914, -0.099823
7, 60000.000000,0.004883, 0.000763, -0.011261,-0.054382, 0.240631, -0.068176,-0.096191, 0.030914, -0.099823
8, 70000.000000,0.004883, 0.000763, -0.011261,-0.054382, 0.240631, -0.068176,-0.096191, 0.030914, -0.099823
9, 80000.000000,-0.002228, 0.001587, -0.013763,-0.055817, 0.237762, -0.071655,-0.096375, 0.029724, -0.106171
10, 90000.000000,-0.002228, 0.001587, -0.013763,-0.055817, 0.237762, -0.071655,-0.096375, 0.029724, -0.106171
11, 100000.000000,-0.002228, 0.001587, -0.010437,-0.055817, 0.237762, -0.071655,-0.096375, 0.029724, -0.106171
12, 110000.000000,-0.002350, 0.001984, -0.010437,-0.055817, 0.237762, -0.071655,-0.096375, 0.029724, -0.106171
13, 120000.000000,-0.002350, 0.001984, -0.010437,-0.055695, 0.238892, -0.069733,-0.097443, 0.029419, -0.092438
14, 130000.000000,-0.001099, 0.004730, -0.011566,-0.055695, 0.238892, -0.069733,-0.097443, 0.029419, -0.092438
15, 140000.000000,-0.001099, 0.004730, -0.011566,-0.055695, 0.238892, -0.069733,-0.097443, 0.029419, -0.092438
16, 150000.000000,-0.000671, 0.005707, -0.012268,-0.055695, 0.238892, -0.069733,-0.097443, 0.029419, -0.092438
17, 160000.000000,-0.000671, 0.005707, -0.012268,-0.056580, 0.239014, -0.070648,-0.100098, 0.029663, -0.104523
18, 170000.000000,0.001709, 0.003479, -0.012939,-0.056580, 0.239014, -0.070648,-0.100098, 0.029663, -0.104523
19, 180000.000000,0.001709, 0.003479, -0.012939,-0.056580, 0.239014, -0.070648,-0.100098, 0.029663, -0.104523
20, 190000.000000,0.001709, 0.003479, -0.012085,-0.056580, 0.239014, -0.070648,-0.100098, 0.029663, -0.104523
21, 200000.000000,-0.000824, 0.004425, -0.012085,-0.056244, 0.239929, -0.068817,-0.096680, 0.030487, -0.101196
22, 210000.000000,-0.000824, 0.004425, -0.012085,-0.056244, 0.239929, -0.068817,-0.096680, 0.030487, -0.101196
23, 220000.000000,-0.000916, 0.005524, -0.012177,-0.056244, 0.239929, -0.068817,-0.096680, 0.030487, -0.101196
24, 230000.000000,-0.000916, 0.005524, -0.012177,-0.056244, 0.239929, -0.068817,-0.096680, 0.030487, -0.101196
25, 240000.000000,0.000122, 0.003296, -0.012177,-0.054932, 0.239136, -0.070801,-0.096832, 0.029480, -0.095459
