Index,Time(us), GyroX , GyroY , GyroZ ,AccX , AccY , AccZ , MagX , MagY , MagZ
1, 0.000000,0.000122, 0.011200, -0.013367,0.033844, -0.020447, -0.250244,0.120850, 0.130920, -0.135406
2, 10000.000000,0.000122, 0.011200, -0.013367,0.033844, -0.020447, -0.250244,0.120850, 0.130920, -0.135406
3, 20000.000000,0.000610, 0.012054, -0.014221,0.033844, -0.020447, -0.250244,0.120850, 0.130920, -0.135406
4, 30000.000000,0.000610, 0.012054, -0.014221,0.032928, -0.020782, -0.250916,0.114441, 0.129639, -0.139160
5, 40000.000000,0.000275, 0.011566, -0.013916,0.032928, -0.020782, -0.250916,0.114441, 0.129639, -0.139160
6, 50000.000000,0.000275, 0.011566, -0.013916,0.032928, -0.020782, -0.250916,0.114441, 0.129639, -0.139160
7, 60000.000000,0.000366, 0.011810, -0.014282,0.032928, -0.020782, -0.250519,0.121948, 0.133606, -0.133118
8, 70000.000000,0.000366, 0.011810, -0.014038,0.033844, -0.021118, -0.250519,0.121948, 0.133606, -0.133118
9, 80000.000000,0.001068, 0.011658, -0.014038,0.033844, -0.021118, -0.250519,0.121948, 0.133606, -0.133118
10, 90000.000000,0.001068, 0.011658, -0.014038,0.033844, -0.021118, -0.250519,0.121948, 0.133606, -0.133118
11, 100000.000000,0.001373, 0.011780, -0.012787,0.033295, -0.021454, -0.250427,0.111481, 0.130493, -0.125641
12, 110000.000000,0.001373, 0.011780, -0.012787,0.033295, -0.021454, -0.250427,0.111481, 0.130493, -0.125641
13, 120000.000000,-0.000183, 0.011505, -0.013306,0.033295, -0.021454, -0.250427,0.111481, 0.130493, -0.125641
14, 130000.000000,-0.000183, 0.011505, -0.013306,0.033295, -0.021454, -0.250427,0.111481, 0.130493, -0.125641
15, 140000.000000,-0.000916, 0.012146, -0.014526,0.034393, -0.020782, -0.247955,0.113495, 0.127228, -0.125763
16, 150000.000000,-0.000916, 0.012146, -0.014526,0.034393, -0.020782, -0.247955,0.113495, 0.127228, -0.125763
17, 160000.000000,0.000244, 0.012848, -0.014740,0.034393, -0.020782, -0.247955,0.113495, 0.127228, -0.125763
18, 170000.000000,0.000244, 0.012848, -0.014740,0.034393, -0.020782, -0.247955,0.113495, 0.127228, -0.125763
19, 180000.000000,0.000244, 0.012848, -0.014740,0.033661, -0.020935, -0.251007,0.112396, 0.129730, -0.125793
20, 190000.000000,0.000916, 0.011932, -0.014832,0.033661, -0.020935, -0.251007,0.112396, 0.129730, -0.125793
21, 200000.000000,0.000916, 0.011932, -0.014832,0.033661, -0.020935, -0.251007,0.112396, 0.129730, -0.125793
22, 210000.000000,0.000214, 0.011292, -0.014221,0.033661, -0.020935, -0.251007,0.112396, 0.129730, -0.125793
23, 220000.000000,0.000214, 0.011292, -0.014221,0.033661, -0.021240, -0.250763,0.116791, 0.126923, -0.129639
24, 230000.000000,-0.001038, 0.011902, -0.013306,0.033600, -0.021240, -0.250763,0.116791, 0.126923, -0.129639
25, 240000.000000,-0.001038, 0.011902, -0.013306,0.033600, -0.021240, -0.250763,0.116791, 0.126923, -0.129639
26, 250000.000000,-0.001038, 0.011261, -0.013306,0.033600, -0.021240, -0.250763,0.116791, 0.126923, -0.129639
27, 260000.000000,-0.000183, 0.011261, -0.013306,0.033600, -0.021240, -0.251587,0.118103, 0.130646, -0.132263
28, 270000.000000,-0.000183, 0.011261, -0.013885,0.032776, -0.021545, -0.251587,0.118103, 0.130646, -0.132263
29, 280000.000000,0.000092, 0.011017, -0.013885,0.032776, -0.021545, -0.251587,0.118103, 0.130646, -0.132263
30, 290000.000000,0.000092, 0.011017, -0.013885,0.032776, -0.021545, -0.251587,0.118103, 0.130646, -0.132263
31, 300000.000000,-0.000641, 0.010742, -0.013824,0.032776, -0.021545, -0.251587,0.118103, 0.130646, -0.132263
32, 310000.000000,-0.000641, 0.010742, -0.013824,0.031647, -0.021759, -0.249023,0.118835, 0.133514, -0.139801
33, 320000.000000,-0.002136, 0.011078, -0.014526,0.031647, -0.021759, -0.249023,0.118835, 0.133514, -0.139801
34, 330000.000000,-0.002136, 0.011078, -0.014526,0.031647, -0.021759, -0.249023,0.118835, 0.133514, -0.139801
35, 340000.000000,-0.002136, 0.011078, -0.014526,0.031647, -0.021759, -0.249023,0.118835, 0.133514, -0.139801
36, 350000.000000,-0.000153, 0.010376, -0.013824,0.033081, -0.021149, -0.250214,0.114532, 0.131592, -0.129028
