Index,Time(us), GyroX , GyroY , GyroZ ,AccX , AccY , AccZ , MagX , MagY , MagZ
1, 0.000000,0.000214, 0.011993, -0.015839,-0.020721, -0.022247, -0.253662,-0.057312, 0.161804, -0.011414
2, 10000.000000,0.000214, 0.011993, -0.014893,-0.020721, -0.022247, -0.253662,-0.057312, 0.169617, -0.013916
3, 20000.000000,-0.001160, 0.011902, -0.014893,-0.021484, -0.023621, -0.257751,-0.047546, 0.166718, -0.013916
4, 30000.000000,-0.001160, 0.011902, -0.014893,-0.021484, -0.023621, -0.257751,-0.047546, 0.166718, -0.013916
5, 40000.000000,0.000183, 0.012787, -0.015137,-0.021484, -0.023621, -0.257751,-0.047546, 0.166718, -0.013916
6, 50000.000000,0.000183, 0.012787, -0.015137,-0.021484, -0.023621, -0.257751,-0.047546, 0.166718, -0.013916
7, 60000.000000,0.000610, 0.012726, -0.015839,-0.021271, -0.023163, -0.258575,-0.052185, 0.165894, -0.015442
8, 70000.000000,0.000610, 0.012726, -0.015839,-0.021271, -0.023163, -0.258575,-0.052185, 0.165894, -0.015442
9, 80000.000000,0.000610, 0.012726, -0.015839,-0.021271, -0.023163, -0.258575,-0.052185, 0.165894, -0.015442
10, 90000.000000,0.000153, 0.012207, -0.015045,-0.021271, -0.023163, -0.258575,-0.052185, 0.165894, -0.015442
11, 100000.000000,0.000153, 0.012207, -0.015045,-0.021271, -0.023163, -0.258575,-0.052185, 0.168304, -0.013763
12, 110000.000000,-0.000580, 0.011200, -0.014343,-0.022583, -0.022247, -0.259125,-0.052856, 0.168304, -0.013763
13, 120000.000000,-0.000580, 0.011200, -0.014343,-0.022583, -0.022247, -0.259125,-0.052856, 0.168304, -0.013763
14, 130000.000000,-0.000580, 0.011200, -0.014343,-0.022583, -0.022247, -0.259125,-0.052856, 0.168304, -0.013763
15, 140000.000000,-0.000580, 0.011993, -0.014984,-0.022583, -0.022247, -0.259125,-0.052856, 0.168304, -0.013763
